Circle,SF,MaxRSSI,MinRSSI,AverageRSSI,MedianRSSI,MaxSnr,MinSnr,AverageSnr,MedianSNR,AverageAccuracy,PDR,Latitude,Longitude,Measurements
100,9,-79,-93,-83.695,-89.0,12.75,8.25,10.592,11.25,6.0,100.0,37.9678,23.7662,10
100,9,-81,-93,-86.235,-87.0,13.75,8.5,11.16,11.125,4.2,100.0,37.9676,23.7666,10
100,9,-82,-94,-86.8,-86.0,12.75,8.25,11.05,11.5,4.0,100.0,37.9675,23.7672,10
100,9,-89,-109,-94.955,-94.5,13.0,5.75,10.279,11.125,4.2,100.0,37.9677,23.7679,10
100,9,-80,-95,-86.2,-86.0,13.0,9.0,11.025,11.5,4.0,100.0,37.968,23.7681,10
100,9,-89,-99,-93.73,-94.0,12.5,8.0,10.508,11.0,4.2,90.9,37.9685,23.7682,10
100,9,-80,-88,-81.52,-82.5,13.5,8.0,10.831,11.625,9.142,100.0,37.9689,23.7679,10
100,9,-76,-91,-84.2,-83.5,12.75,7.0,9.85,9.375,4.0,100.0,37.9691,23.7675,10
100,9,-69,-88,-71.845,-75.5,10.75,7.75,8.446,8.875,9.178,100.0,37.9692,23.7669,10
100,9,-75,-88,-79.0,-78.0,11.0,7.75,9.2,9.125,4.0,100.0,37.969,23.7664,10
100,9,-87,-104,-95.245,-97.0,10.5,5.5,7.93,8.125,4.6,100.0,37.9687,23.7661,10
100,9,-85,-95,-90.9,-91.0,10.25,7.25,8.8,9.0,4.0,100.0,37.9681,23.766,10
150,7,-83,-97,-90.4,-92.5,9.5,4.25,7.878,8.5,5.019,100.0,37.9677,23.7656,10
150,7,-86,-101,-88.21,-92.5,10.0,6.25,7.842,8.75,6.301,100.0,37.9672,23.7664,10
150,7,-83,-101,-83.425,-90.0,10.0,7.25,7.746,8.625,8.781,100.0,37.9672,23.7672,10
150,7,-89,-110,-87.43,-99.0,9.5,2.25,6.48,8.125,9.88,100.0,37.9673,23.7678,10
150,7,-94,-106,-100.35,-101,9.25,-0.75,6.036,6.75,3.839,100.0,37.9677,23.7686,11
150,7,-91,-107,-97.0,-95,9.5,-1.25,6.806,8.0,3.79,100.0,37.9682,23.7688,9
150,7,-81,-99,-89.323,-91,10.0,6.75,8.642,8.75,3.847,91.7,37.969,23.7685,11
150,7,-79,-95,-86.744,-89,9.75,7.0,8.144,8.0,4.473,75.0,37.9695,23.7679,9
150,7,-85,-99,-88.356,-88,10.0,6.75,8.058,8.75,4.473,64.3,37.9697,23.7671,9
150,7,-85,-95,-89.3,-88.5,9.25,7.25,8.375,8.5,3.79,100.0,37.9695,23.7663,10
150,7,-91,-107,-97.091,-98,8.75,4.5,7.318,8.0,3.79,100.0,37.969,23.7657,11
150,7,-93,-105,-99.667,-100,8.75,1.5,6.417,8.0,3.79,100.0,37.9683,23.7654,9
150,8,-88,-101,-87.27,-94.0,11.75,8.5,9.865,10.5,8.092,100.0,37.9677,23.7656,10
150,8,-82,-106,-84.04,-89.0,12.0,2.25,9.408,11.0,7.477,100.0,37.9672,23.7663,10
150,8,-89,-101,-83.35,-94.5,11.75,7.75,8.893,10.75,11.603,100.0,37.9673,23.7678,10
150,8,-97,-106,-89.91,-100.5,10.5,-0.75,6.39,8.125,9.935,100.0,37.9676,23.7685,10
150,8,-92,-106,-98.6,-99.0,10.75,-1.0,8.375,9.625,3.79,100.0,37.9682,23.7688,10
150,8,-88,-100,-92.111,-89,11.25,7.5,9.444,10.0,3.79,90.0,37.969,23.7686,9
150,8,-81,-95,-81.7,-88.5,12.0,8.25,9.54,10.375,8.092,90.9,37.9694,23.768,10
150,8,-75,-105,-81.392,-85.0,12.0,8.25,9.694,10.75,6.35,85.7,37.9696,23.7671,12
150,8,-81,-91,-87.8,-88.0,12.5,8.25,10.725,11.25,3.79,71.4,37.9695,23.7663,10
150,8,-87,-100,-91.9,-91.0,11.25,8.25,10.425,10.5,3.79,100.0,37.969,23.7656,10
150,8,-89,-111,-97.818,-95,11.25,5.0,9.091,9.75,3.79,91.7,37.9683,23.7655,11
150,8,-81,-95,-87.82,-92.5,11.25,6.75,9.535,10.125,5.019,100.0,37.9671,23.7672,10
150,9,-78,-101,-90.975,-96.0,12.5,7.25,10.631,11.5,4.6,100.0,37.9677,23.7656,10
150,9,-87,-106,-90.265,-93.0,12.75,6.75,10.448,11.5,5.4,100.0,37.9672,23.7663,10
150,9,-91,-103,-91.97,-94.0,13.0,7.5,9.85,10.875,5.6,100.0,37.9674,23.7679,10
150,9,-88,-110,-95.88,-99.0,13.25,6.25,10.072,11.0,6.754,100.0,37.9676,23.7685,10
150,9,-91,-108,-96.975,-100.0,13.0,3.25,9.281,9.875,4.8,100.0,37.9683,23.7688,10
150,9,-91,-99,-92.115,-94.0,13.25,8.75,11.132,11.75,5.0,90.9,37.969,23.7685,10
150,9,-79,-100,-87.205,-87.0,13.25,8.75,10.855,11.0,4.2,83.3,37.9694,23.768,10
150,9,-83,-97,-88.35,-89.5,13.75,8.75,11.806,12.0,4.333,75.0,37.9697,23.7671,12
150,9,-87,-97,-88.475,-90.0,13.25,8.25,11.074,12.25,5.2,66.7,37.9695,23.7662,10
150,9,-90,-111,-98.1,-99.0,12.75,3.75,9.6,10.375,4.0,83.3,37.9691,23.7656,10
150,9,-95,-115,-100.273,-100,12.0,-1.0,8.714,9.75,17.236,78.6,37.9683,23.7654,11
150,9,-89,-103,-90.345,-93.0,12.5,4.75,9.262,10.625,7.0,100.0,37.9671,23.7672,10
200,7,-95,-112,-94.94,-103.5,8.0,-2.25,5.678,6.75,8.926,100.0,37.9683,23.765,10
200,7,-78,-87,-75.0,-81.5,10.25,7.0,8.228,9.375,8.706,100.0,37.9674,23.7654,10
200,7,-89,-101,-87.33,-97.0,9.75,7.25,7.643,8.5,9.596,100.0,37.9667,23.7662,10
200,7,-93,-110,-87.82,-99.0,8.75,5.0,6.43,7.375,10.812,100.0,37.9666,23.7671,10
200,7,-107,-115,-100.17,-111.5,4.0,-7.25,-0.225,0.875,9.978,100.0,37.9668,23.7686,10
200,7,-89,-104,-98.5,-98.5,10.25,6.5,8.6,8.625,3.79,100.0,37.9676,23.7691,10
200,7,-98,-113,-103.16,-104.0,7.75,-2.0,4.987,5.75,5.019,90.9,37.9684,23.7693,10
200,7,-91,-111,-95.791,-96,10.0,2.5,5.895,6.25,23.123,100.0,37.9693,23.769,11
200,7,-92,-107,-94.238,-97,10.25,4.25,7.333,8.0,6.154,76.5,37.9699,23.768,13
200,7,-88,-107,-100.688,-102.0,9.75,4.0,7.219,7.25,3.79,61.5,37.9701,23.7669,16
200,7,-91,-97,-94.6,-94.5,10.0,6.75,8.65,8.625,3.79,100.0,37.9698,23.7658,10
200,7,-101,-112,-105.0,-107.0,7.25,-0.5,3.57,4.0,15.651,100.0,37.9691,23.765,10
200,8,-94,-111,-97.73,-104.0,9.0,-1.75,4.845,7.0,7.758,100.0,37.9683,23.765,10
200,8,-93,-107,-86.23,-97.0,11.0,3.75,8.213,10.25,14.334,100.0,37.9674,23.7654,10
200,8,-93,-104,-90.2,-98.5,11.25,6.5,8.553,9.625,8.706,100.0,37.9668,23.7661,10
200,8,-103,-112,-98.84,-109.5,7.5,-4.75,2.567,3.875,9.57,100.0,37.9665,23.7671,10
200,8,-106,-117,-100.08,-111.5,7.0,-7.25,-0.675,0.5,10.118,100.0,37.9668,23.7686,10
200,8,-96,-113,-102.7,-102.0,10.0,1.25,7.2,7.5,3.79,100.0,37.9676,23.7692,10
200,8,-92,-100,-98.1,-99.0,10.75,7.25,9.425,9.625,3.79,100.0,37.9685,23.7694,10
200,8,-98,-109,-94.14,-104.0,10.25,2.0,6.165,6.875,9.321,100.0,37.9693,23.769,10
200,8,-98,-110,-103.3,-102.5,10.0,-0.25,6.4,8.0,3.79,90.9,37.97,23.7681,10
200,8,-98,-105,-100.545,-101,9.75,-3.5,7.114,9.0,3.79,55.0,37.9701,23.767,11
200,8,-88,-107,-92.0,-95.0,10.75,4.75,7.855,8.5,6.863,100.0,37.9699,23.7658,10
200,8,-101,-116,-107.79,-110.5,7.75,-8.75,0.973,2.5,4.405,100.0,37.9691,23.765,10
200,9,-97,-112,-103.27,-106.0,11.0,-0.75,5.799,6.875,4.8,100.0,37.9683,23.7649,10
200,9,-87,-103,-86.18,-92.5,12.5,8.5,9.694,10.625,10.0,100.0,37.9674,23.7654,10
200,9,-93,-101,-91.57,-96.0,11.75,6.5,9.254,10.375,6.947,100.0,37.9668,23.7661,10
200,9,-93,-101,-91.085,-95.5,12.0,7.75,9.539,10.5,6.6,100.0,37.9665,23.7671,10
200,9,-109,-116,-111.33,-113.0,3.75,-12.5,-3.98,-3.375,4.6,100.0,37.9668,23.7686,10
200,9,-91,-103,-94.69,-99.5,12.25,5.75,9.776,10.75,5.6,100.0,37.9676,23.7691,10
200,9,-99,-115,-104.505,-106.0,9.75,-5.25,5.682,7.375,4.6,100.0,37.9684,23.7693,10
200,9,-97,-106,-99.757,-101.0,12.0,4.0,8.028,8.0,4.714,66.7,37.9693,23.7689,14
200,9,-97,-115,-100.919,-100,13.0,-2.25,8.377,10.0,4.462,52.0,37.9699,23.768,13
200,9,-97,-107,-98.477,-99,11.5,5.5,9.462,10.25,57.538,65.0,37.9701,23.767,13
200,9,-91,-112,-94.641,-97,12.75,3.75,9.909,11.0,5.455,100.0,37.9698,23.7659,11
200,9,-98,-109,-100.658,-105,11.0,4.5,7.812,7.75,5.385,100.0,37.9691,23.765,13
